size	name
3948	_S700_L001_R1_001.fastq.gz
3952	_S138_L001_R2_001.fastq.gz
3956	_S149_L001_R1_001.fastq.gz
3956	_S376_L001_R2_001.fastq.gz
3956	_S393_L001_R1_001.fastq.gz
3956	_S502_L001_R1_001.fastq.gz
3960	_S155_L001_R2_001.fastq.gz
3960	_S544_L001_R2_001.fastq.gz
3960	_S762_L001_R2_001.fastq.gz
3964	_S612_L001_R1_001.fastq.gz
3964	_S722_L001_R2_001.fastq.gz
3968	_S244_L001_R2_001.fastq.gz
3968	_S585_L001_R2_001.fastq.gz
3972	_S101_L001_R1_001.fastq.gz
3972	_S490_L001_R1_001.fastq.gz
3972	_S507_L001_R2_001.fastq.gz
3976	_S183_L001_R1_001.fastq.gz
3976	_S244_L001_R1_001.fastq.gz
3976	_S432_L001_R2_001.fastq.gz
3976	_S578_L001_R1_001.fastq.gz
3976	_S686_L001_R2_001.fastq.gz
3976	_S705_L001_R1_001.fastq.gz
3980	_S418_L001_R2_001.fastq.gz
3980	_S491_L001_R2_001.fastq.gz
3980	_S617_L001_R1_001.fastq.gz
3980	_S698_L001_R1_001.fastq.gz
3980	_S722_L001_R1_001.fastq.gz
3984	_S175_L001_R2_001.fastq.gz
3984	_S257_L001_R1_001.fastq.gz
3984	_S312_L001_R1_001.fastq.gz
3984	_S532_L001_R2_001.fastq.gz
3984	_S623_L001_R2_001.fastq.gz
3988	_S130_L001_R1_001.fastq.gz
3988	_S347_L001_R2_001.fastq.gz
3988	_S460_L001_R1_001.fastq.gz
3988	_S491_L001_R1_001.fastq.gz
3988	_S532_L001_R1_001.fastq.gz
