Sample	Error rate: mismatches (NM) / bases mapped (CIGAR)	Non-primary alignments (millions)	Reads Mapped in the bam file (millions)	% Mapped Reads	% Properly Paired Reads	% of Reads that are Ambiguously Placed (MapQ=0)	Total sequences in the bam file (millions)
SORT-255	5.415342	0	0.035096999999999996	98.7757514353259	28.700889339187214	55.513340087808174	0.035532
SORT-256	5.514456	0	0.034733	99.64711957769107	28.993573559788842	51.69841634151939	0.034856
SORT-257	4.8537360000000005	0	0.035629	99.56684551754974	20.439302481556002	63.243348982785605	0.035783999999999996
SORT-258	5.774814	0	0.039477	99.14858348402652	36.075949367088604	48.72161944946755	0.039816
SORT-259	5.401705	0	0.039570999999999995	98.92255387230638	30.643467826608667	54.08729563521823	0.040001999999999996
SORT-26	5.4705639999999995	0	0.045235	99.23873458821465	30.56908428765741	53.407046641218024	0.045582
SORT-260	5.949623	0	0.040129	99.31445824877494	39.083304459733704	45.95109637182597	0.040406
SORT-261	5.837587	0	0.041704	98.8199611392825	37.500592388986306	46.88166437609592	0.042201999999999996
SORT-262	5.5111229999999995	0	0.04691	98.64160148036	31.634283791740263	52.111195222474564	0.047556
SORT-263	5.462312	0	0.047015	98.91231170579819	29.26870318943028	54.09198013969536	0.047532
SORT-264	5.668734000000001	0	0.038692	98.85033978846252	37.10081242654948	47.02876705329314	0.039141999999999996
SORT-265	4.693707	0	0.039668999999999996	99.54579673776662	17.8168130489335	65.20451693851945	0.03985
SORT-266	5.810639	0	0.042739	99.02455977757182	36.97868396663577	46.916126042632065	0.04316
SORT-267	5.481878	0	0.03963	99.0106430819967	29.36091540498676	56.74811372607805	0.040026
SORT-268	5.180912	0	0.027476999999999998	99.0590525632706	25.171245223159566	59.46355180618645	0.027738
SORT-269	6.16609	0	0.024397	98.79727869118004	40.37417996274399	43.14813314975298	0.024693999999999997
SORT-27	5.762464	0	0.030588999999999998	99.03198653198653	37.01761201761202	48.044548044548044	0.030888
SORT-270	5.0326830000000005	0	0.030567999999999998	98.86797334885827	21.327382107510186	64.58697199042629	0.030917999999999998
SORT-271	6.092149	0	0.038127999999999995	98.51687251304843	40.49919900780321	43.155392486176424	0.038702
SORT-272	5.629162	0	0.039844	98.87339322050723	35.80822869621321	48.50861084917366	0.040298
SORT-273	4.489953	0	0.037101999999999996	99.50651719143914	14.815212143968246	67.75733519283376	0.037286
SORT-274	5.17634	0	0.036275	98.91203577466325	26.49288324153351	58.172001963243716	0.036674
SORT-275	5.8963090000000005	0	0.041158	99.16156700236111	36.91514479834241	47.43410591239821	0.041506
SORT-276	5.168883	0	0.032907	99.24900470503076	23.470865001809628	60.556158764627824	0.033156
SORT-277	6.312101	0	0.036687	99.05767361486122	43.12560751701048	41.74046873312452	0.037036
SORT-278	5.206703	0	0.033117	98.95715054084742	27.13201458196378	57.76609095798722	0.033465999999999996
SORT-279	4.96242	0	0.024492999999999997	98.92164781906301	19.96768982229402	65.8481421647819	0.024759999999999997
SORT-28	6.217051	0	0.037586999999999995	99.27367809413133	44.26601869948762	41.284137129575825	0.037862
SORT-280	5.465567	0	0.027770999999999997	98.66766147942869	30.55496340510197	53.318411141902935	0.028145999999999997
SORT-281	4.472961000000001	0	0.025459	99.17802882742501	12.917802882742501	71.65562913907286	0.02567
SORT-282	0.9240175999999999	0	0.002509	81.77966101694916	79.07431551499347	67.60104302477184	0.003068
SORT-283	4.839576999999999	0	0.013489	80.56020066889631	11.227902532250358	55.04061156235069	0.016744
